coreid	scientificNameID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	namePublishedInID	acceptedNameUsageID	taxonomicStatus	originalNameUsageID	taxonRemarks	created	modified	references	kingdom	nomenclaturalCode	bibliographicCitation	rightsHolder	license	rights
wfo-0001025872		Solanum amblophyllum	SPECIES	wfo-4000035688	Hook.	Solanaceae				Solanum 		amblophyllum		sp.		"""Hook., Bot. Misc. 2: 231. 1831., 1831."""	sol-0001025872		accepted					http://solanaceaesource.org/solanaceae/solanum-amblophyllum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025893		Solanum amnicola	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		amnicola		sp.		"""S.Knapp, Brittonia 38: 295. 1986., 1986."""	sol-0001025893		accepted					http://solanaceaesource.org/solanaceae/solanum-amnicola	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025896		Solanum amotapense	SPECIES	wfo-4000035688	Svenson	Solanaceae				Solanum 		amotapense		sp.		"""Svenson, Amer. J. Bot. 33: 483. 1946., 1946."""	sol-0001025896		accepted					http://solanaceaesource.org/solanaceae/solanum-amotapense	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025902		Solanum amygdalifolium	SPECIES	wfo-4000035688	Steud.	Solanaceae				Solanum 		amygdalifolium		sp.		"""Steud. and Steud., Nomencl. Bot. ed. 2, 2: 600. 1841., 1841."""	sol-0001025902		accepted					http://solanaceaesource.org/solanaceae/solanum-amygdalifolium	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025906		Solanum anamatophilum	SPECIES	wfo-4000035688	Ochoa	Solanaceae				Solanum 		anamatophilum		sp.		"""Ochoa, Anales Ci., Univ. Nac. Agrar., Lima 2: 391. 1964., 1964."""	sol-0001025906		accepted					http://solanaceaesource.org/solanaceae/solanum-anamatophilum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025907		Solanum anceps	SPECIES	wfo-4000035688	Ruiz & Pav.	Solanaceae				Solanum 		anceps		sp.		"""R. & Pav., Fl. Peruv. [Ruiz & Pavon] 2: 36, t. 169, fig. a. 1799., 1799."""	sol-0001025907		accepted					http://solanaceaesource.org/solanaceae/solanum-anceps	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026203		Solanum andreanum	SPECIES	wfo-4000035688	Baker	Solanaceae				Solanum 		andreanum		sp.		"""Baker, J. Linn. Soc., Bot. 20: 498. 1884., 1884."""	sol-0001026203		accepted					http://solanaceaesource.org/solanaceae/solanum-andreanum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026208		Solanum anguivi	SPECIES	wfo-4000035688	Lam.	Solanaceae				Solanum 		anguivi		sp.		"""Lam., Lam., and Lam., Tabl. Encycl. 2: 23. 1794., 1794."""	sol-0001026208		accepted					http://solanaceaesource.org/solanaceae/solanum-anguivi	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026215		Solanum angustialatum	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		angustialatum		sp.		"""Bitter, Bitter, and Bitter, Repert. Spec. Nov. Regni Veg. 11: 471. 1912., 1912."""	sol-0001026215		accepted					http://solanaceaesource.org/solanaceae/solanum-angustialatum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001026229		Solanum anisocladum	SPECIES	wfo-4000035688	Giacomin & Stehmann	Solanaceae				Solanum 		anisocladum		sp.		J. Bot. Res. Inst. Texas 7: 97. 2013.. Submitted.	sol-0001026229		accepted					http://solanaceaesource.org/solanaceae/solanum-anisocladum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
